,fid,objectId,cam,objectClass,type,centerPoint_x,centerPoint_y,centerPoint_z,size_x,size_y,size_z,points,roll,pitch,yaw
0,0,0,lidar,Car,Car,-1.93078,-5.03576,0.80623,4.1658703164885,1.912039942051421,1.49849437336281,"[[-0.7628053338628469, -7.007188032413342, 0.05571837339356722], [-0.7814947154085897, -7.019163894861338, 1.554048334629097], [-2.665190475486472, -7.197425016153317, 0.03047153305316943], [-2.683879857032216, -7.209400878601314, 1.5288014942887], [-1.177681207129342, -2.862122006781588, 0.0836673757859979], [-1.196370588675085, -2.874097869229583, 1.581997337021528], [-3.080066348752968, -3.052358990521563, 0.05842053544560014], [-3.098755730298711, -3.064334852969558, 1.55675049668113]]",0.01320635149368609,0.00670918663623986,-1.471039689752558
1,0,33,lidar,Pedestrian,,6.45291,-11.18323,1.10907,0.8993288107249772,1.202804722721023,1.6965600000000005,"[[7.207410106329877, -11.32017043904669, 0.2751464255763861], [7.181194259559428, -11.28308402159681, 1.971098418003897], [6.142508012392818, -11.87937059548605, 0.270913652648562], [6.11629216562237, -11.84228417803618, 1.966865645076072], [6.789523751673059, -10.52418443377773, 0.2512804705861891], [6.763307904902612, -10.48709801632785, 1.9472324630137], [5.724621657736001, -11.08338459021709, 0.247047697658365], [5.698405810965552, -11.04629817276721, 1.942999690085876]]",0.00352036906353789,-0.02654066338485611,-1.087352557229416
2,0,8,lidar,Car,Car,-10.59586,7.63001,0.6896,3.83056,1.6686399999999992,1.48922,"[[-11.50760996052426, 9.486950391784863, -0.1099816723633943], [-11.53062191608581, 9.519504403782499, 1.378704625888891], [-9.841010831597298, 9.56587474088496, -0.08594544597488771], [-9.864022787158838, 9.598428752882594, 1.402740852277398], [-11.32770091420882, 5.661593926637742, -0.0235492524562465], [-11.35071286977036, 5.694147938635377, 1.465137045796039], [-9.661101785281856, 5.74051827573784, 0.000486973932260036], [-9.684113740843395, 5.773072287735475, 1.489173272184545]]",-0.01440884759721122,0.02256582740199274,1.617792359134521
3,0,7,lidar,Car,Car,-13.26074,8.03865,0.81864,4.30632,1.9564499999999994,1.7273899999999993,"[[-14.32555230108536, 10.1237334525015, -0.1074245338379483], [-14.35224454394904, 10.16149380677057, 1.619346409835931], [-12.37149518523702, 10.21627081394368, -0.0792424962997174], [-12.3981874281007, 10.25403116821276, 1.647528447374162], [-14.12329834230933, 5.823263272425384, -0.01025710701405091], [-14.14999058517301, 5.861023626694461, 1.716513836659828], [-12.16924122646099, 5.915800633867571, 0.01792493052418002], [-12.19593346932467, 5.953560988136647, 1.744695874198059]]",-0.01440884759721126,0.02256582740199208,1.617792359134521
4,0,35,lidar,Pedestrian,,6.6342,-25.70929,1.52501,0.7258599999999951,0.8231800000000008,1.9053700000000007,"[[6.220789231946146, -25.3871430236158, 0.5585532118592779], [6.191346779005483, -25.34549206684654, 2.463240371648266], [7.042962421459824, -25.34820775555785, 0.5704108569106315], [7.01351996851916, -25.30655679878859, 2.475098016699619], [6.254880534616911, -26.11201699603542, 0.5749314532427314], [6.225438081676249, -26.07036603926615, 2.479618613031719], [7.077053724130588, -26.07308172797747, 0.5867890982940851], [7.047611271189926, -26.0314307712082, 2.491476258083074]]",-0.01440884759721034,0.02256582740199148,1.617792359134524
5,0,36,lidar,Pedestrian,,5.51657,-27.03669,1.58327,0.8809099999999979,1.148569999999999,1.90996,"[[4.937060944981193, -26.6448738426884, 0.6104188854883025], [4.907547565732778, -26.60312254955845, 2.519694400328242], [6.084226158275639, -26.59054808060317, 0.6269636695897545], [6.054712779027228, -26.54879678747321, 2.536239184429694], [4.978434445980977, -27.52458719105333, 0.6302956614741652], [4.948921066732564, -27.48283589792337, 2.539571176314105], [6.125599659275423, -27.4702614289681, 0.646840445575617], [6.096086280027011, -27.42851013583814, 2.556115960415557]]",-0.01440884759721047,0.02256582740199142,1.617792359134523
6,0,6,lidar,Car,Car,-16.16664,7.24244,0.58276,3.322139999999998,1.535459999999996,1.23084,"[[-17.00194132086975, 8.85149052319866, -0.08098062685635472], [-17.02096069704209, 8.878396406900977, 1.149418268767423], [-15.46835930287774, 8.92411564369753, -0.05886281584229767], [-15.48737867905007, 8.95102152739985, 1.171536079781481], [-16.84591112185802, 5.533863406765591, -0.006020151241736565], [-16.86493049803036, 5.560769290467912, 1.224378744382042], [-15.31232910386601, 5.606488527264464, 0.01609765977232051], [-15.33134848003834, 5.633394410966782, 1.246496555396099]]",-0.01440884759721089,0.02256582740199186,1.617792359134522
7,0,38,lidar,Pedestrian,,0.12708,-21.8291,1.30487,0.5023522247387797,0.7105349199722704,1.8000000000000007,"[[0.5266302541749539, -22.0499526050364, 0.4155535733648771], [0.4988160158416163, -22.01060501260832, 2.214908495306641], [-0.1774248949953404, -22.14528783772439, 0.4067551169592288], [-0.2052391333286781, -22.10594024529631, 2.206110038900992], [0.4593897601621985, -21.55226362211785, 0.4036309081250506], [0.4315755218288606, -21.51291602968977, 2.202985830066814], [-0.2446653890080963, -21.64759885480584, 0.3948324517194022], [-0.272479627341434, -21.60825126237776, 2.194187373661166]]",0.01238668102500974,-0.02373593728588689,-1.436502107364309
8,0,5,lidar,Car,Car,-18.92591,7.61801,0.80907,3.922080000000002,1.686100000000002,1.70498,"[[-19.84686290336857, 9.517870982077032, -0.0995049286640774], [-19.87320885896501, 9.555141458820383, 1.604864046231627], [-18.16282512932279, 9.597621164871212, -0.07521719655070312], [-18.18917108491922, 9.634891641614557, 1.629151778345001], [-19.66265545788466, 5.601118840138462, -0.01100745950306024], [-19.68900141348109, 5.638389316881808, 1.693361515392644], [-17.97861768383888, 5.680869022932639, 0.01328027261031408], [-18.0049636394353, 5.718139499675985, 1.717649247506019]]",-0.01440884759720984,0.02256582740199298,1.617792359134521
9,0,39,lidar,Pedestrian,,-5.29396,3.54778,0.89012,0.8517904590332055,0.8096100000000009,1.800000036,"[[-5.704443933770767, 3.103048391254131, 0.001881648496346944], [-5.696296639939287, 3.144090864048422, 1.801395267958604], [-5.742468703775007, 3.911558595440401, -0.01638632054239043], [-5.734321409943528, 3.952601068234692, 1.783127298919867], [-4.853602690041392, 3.142966327595074, -0.002885156233614309], [-4.845455396209913, 3.184008800389365, 1.796628463228643], [-4.891627460045634, 3.951476531781345, -0.02115312527235171], [-4.883480166214155, 3.992519004575636, 1.778360494189906]]",0.02256610491787286,-0.005593720222087092,-3.094717027258813
10,0,40,lidar,Shopping Cart,,-11.48751,4.24018,0.53838,1.172015547763766,0.7993693080172651,1.1148,"[[-12.09929002469166, 3.884100383857053, -0.02088556004512108], [-12.11651630963278, 3.908469659434176, 1.093514921610811], [-12.02535452046681, 4.679877037021657, -0.03714440665728616], [-12.04258080540792, 4.704246312598778, 1.077256074998646], [-10.93243878668596, 3.776107194155125, -0.0004869438525852443], [-10.94966507162708, 3.800476469732248, 1.113913537803347], [-10.85850328246111, 4.571883847319731, -0.01674579046475033], [-10.87572956740222, 4.596253122896853, 1.097654691191182]]",0.02034408590585902,0.0174056190041471,3.049303744934735
11,0,4,lidar,Car,Multivan,-21.70988,6.71727,1.07941,4.92437,2.102360000000004,2.2554,"[[-22.85798859703947, 9.101742336901202, -0.1185842703485543], [-22.89283983767114, 9.151044870213587, 2.136007446844475], [-20.75819993999487, 9.201181038223288, -0.08830044585067542], [-20.79305118062654, 9.250483571535668, 2.166291271342355], [-22.62670682351174, 4.184061732426525, -0.007471217526470586], [-22.66155806414342, 4.233364265738906, 2.247120499666559], [-20.52691816646714, 4.28350043374861, 0.02281260697140831], [-20.56176940709882, 4.332802967060992, 2.277404324164438]]",-0.01440884759721196,0.02256582740199174,1.617792359134521
12,0,41,lidar,Pedestrian,,-6.10663,4.85393,0.85693,0.5388999999999995,0.7877800000000009,1.74365,"[[-6.499218595409223, 5.085326564016693, -0.02633175446378883], [-6.526162093559181, 5.123442358204037, 1.716693362004965], [-5.712402109057412, 5.122587461354691, -0.01498403510890238], [-5.73934560720737, 5.160703255542034, 1.728041081359851], [-6.47390820083, 4.547158620147447, -0.0141720621242975], [-6.500851698979958, 4.585274414334791, 1.728853054344456], [-5.687091714478187, 4.584419517485444, -0.002824342769411045], [-5.714035212628146, 4.622535311672787, 1.740200773699342]]",-0.01440884759721155,0.02256582740199186,1.617792359134522
13,0,3,lidar,Car,Car,-13.15081,-5.94593,0.84882,4.006860100989303,1.759027746711236,1.49286,"[[-12.13269199235072, -7.904074936337985, 0.1606802131642767], [-12.15576019448311, -7.871441354764552, 1.653005206925378], [-13.88785948750354, -8.017910145868376, 0.1360383234204275], [-13.91092768963593, -7.985276564294942, 1.628363317181528], [-12.39068711384255, -3.90657425183691, 0.06927636423088271], [-12.41375531597495, -3.873940670263475, 1.561601357991983], [-14.14585460899537, -4.020409461367298, 0.04463447448703348], [-14.16892281112776, -3.987775879793865, 1.536959468248134]]",0.01401291027146194,-0.0228137923096996,-1.506348072991683
14,0,42,lidar,Car,Car,-8.34067,14.48791,0.8878,5.4889399999999995,1.9647,2.19562,"[[-9.4337513582667, 17.15818898400004, -0.2856901822614902], [-9.46767885713861, 17.20618474004835, 1.909142958690607], [-7.471454332783184, 17.25111655895748, -0.2573893061075572], [-7.505381831655096, 17.29911231500578, 1.937443834844541], [-9.175953553067805, 11.67670530646866, -0.1618382214711255], [-9.209881051939716, 11.72470106251696, 2.032994919480972], [-7.213656527584289, 11.76963288142609, -0.1335373453171925], [-7.247584026456203, 11.81762863747439, 2.061295795634905]]",-0.01440884759721168,0.02256582740199192,1.617792359134521
15,0,42,lidar,Car,Car,-8.29166,14.44945,0.34888,3.795310000000007,1.889939999999998,1.11496,"[[-9.315982393833027, 16.28764826452409, -0.2648330767458564], [-9.333211151150879, 16.31202103766498, 0.8497273475698043], [-7.428353931298127, 16.3770397955543, -0.2376090945203949], [-7.445582688615982, 16.40141256869519, 0.8769513297952655], [-9.137728926305702, 12.49749391483696, -0.1791960347473504], [-9.154957683623559, 12.52186668797786, 0.9353643895683103], [-7.250100463770806, 12.58688544586716, -0.1519720525218889], [-7.26732922108866, 12.61125821900806, 0.9625883717937715]]",-0.01440884759721269,0.02256582740199316,1.617792359134521
16,0,2,lidar,Car,Car,-10.32573,-5.18381,0.88892,4.287290000011662,1.927390000025942,1.56404,"[[-9.250441477770494, -7.296051550671973, 0.1694296523055018], [-9.274609578505425, -7.261861990415746, 1.732909136813166], [-11.17547366649674, -7.387224400984077, 0.1416664404272792], [-11.19964176723167, -7.353034840727847, 1.705145924934944], [-9.451811646604066, -3.014585992722473, 0.07269147268590254], [-9.475979747338993, -2.980396432466244, 1.636170957193567], [-11.37684383533031, -3.105758843034576, 0.04492826080767989], [-11.40101193606524, -3.071569282778348, 1.608407745315344]]",0.01440873681227008,-0.02256588666887322,-1.523796533631985
17,0,43,lidar,Car,Car,-5.76463,7.7499,0.94432,5.000000000000002,1.999999999999999,2.16145,"[[-6.864126679897933, 10.17557984158075, -0.2068369165040335], [-6.897526171812152, 10.22282864916612, 1.953838470179869], [-4.866572828945101, 10.27017705739734, -0.1780275551217023], [-4.899972320859319, 10.31742586498271, 1.9826478315622], [-6.629292809242676, 5.182371974914884, -0.09401735499455742], [-6.662692301156894, 5.229620782500255, 2.066658031689346], [-4.631738958289844, 5.276969190731475, -0.06520799361222626], [-4.665138450204061, 5.324217998316847, 2.095467393071676]]",-0.01440884759721116,0.02256582740199244,1.617792359134521
